Time,Cond.corr.mS.cm,Ct.mS.cm,Temp.deg.C
2024-07-15 14:07:50,0.06077237,0.04348641,10.77811
2024-07-15 14:07:52,0.06080423,0.04344811,10.72787
2024-07-15 14:07:54,0.06089567,0.04347681,10.69778
2024-07-15 14:07:56,0.06092397,0.04344811,10.65765
2024-07-15 14:07:58,0.06081149,0.04342892,10.70782
2024-07-15 14:08:00,0.06080056,0.04345771,10.73792
2024-07-15 14:08:02,0.06086283,0.04342892,10.6777
2024-07-15 14:08:04,0.06079806,0.04341933,10.70782
2024-07-15 14:08:06,0.06082493,0.04343852,10.70782
2024-07-15 14:08:08,0.06080788,0.04343852,10.71783
2024-07-15 14:08:10,0.06078829,0.04340015,10.69778
2024-07-15 14:08:12,0.0607712,0.04340015,10.70782
2024-07-15 14:08:14,0.06078217,0.04337136,10.6777
2024-07-15 14:08:16,0.06079561,0.04338096,10.6777
2024-07-15 14:08:18,0.06070057,0.04336185,10.71783
2024-07-15 14:08:20,0.06068351,0.04336185,10.72787
2024-07-15 14:08:22,0.06072731,0.04338096,10.71783
2024-07-15 14:08:24,0.06073089,0.04337136,10.70782
2024-07-15 14:08:26,0.06078217,0.04337136,10.6777
2024-07-15 14:08:28,0.06071758,0.04336185,10.70782
2024-07-15 14:08:30,0.0607383,0.04335226,10.68774
2024-07-15 14:08:32,0.06074195,0.04334267,10.6777
2024-07-15 14:08:34,0.0607383,0.04335226,10.68774
2024-07-15 14:08:36,0.06074195,0.04334267,10.6777
2024-07-15 14:08:38,0.06065666,0.04334267,10.72787
2024-07-15 14:08:40,0.06069434,0.04333307,10.69778
2024-07-15 14:08:42,0.06067728,0.04333307,10.70782
2024-07-15 14:08:44,0.06070778,0.04334267,10.69778
2024-07-15 14:08:46,0.06066748,0.04331389,10.69778
2024-07-15 14:08:48,0.06072486,0.04334267,10.68774
2024-07-15 14:08:50,0.06068091,0.04332348,10.69778
2024-07-15 14:08:52,0.06063343,0.04331389,10.71783
2024-07-15 14:08:54,0.06064323,0.04333307,10.72787
2024-07-15 14:08:56,0.06061639,0.04331389,10.72787
2024-07-15 14:08:58,0.06073576,0.04331389,10.65765
2024-07-15 14:09:00,0.06063699,0.0433043,10.70782
2024-07-15 14:09:02,0.06067111,0.0433043,10.68774
2024-07-15 14:09:04,0.06068455,0.04331389,10.68774
2024-07-15 14:09:06,0.06069177,0.04329471,10.66769
2024-07-15 14:09:08,0.06062,0.0433043,10.71783
2024-07-15 14:09:10,0.06060296,0.0433043,10.72787
2024-07-15 14:09:12,0.06065404,0.0433043,10.69778
2024-07-15 14:09:14,0.0606227,0.04329521,10.70874
2024-07-15 14:09:16,0.06058863,0.04329521,10.72882
2024-07-15 14:09:18,0.0606702,0.0433048,10.68869
2024-07-15 14:09:20,0.06063975,0.04329521,10.6987
2024-07-15 14:09:22,0.06065676,0.04329521,10.68869
2024-07-15 14:09:24,0.06067388,0.04329521,10.67862
2024-07-15 14:09:26,0.06071164,0.04328562,10.64853
2024-07-15 14:09:28,0.06063975,0.04329521,10.6987
2024-07-15 14:09:30,0.06067747,0.04328562,10.66861
2024-07-15 14:09:32,0.06066044,0.04328562,10.67862
2024-07-15 14:09:34,0.06060928,0.04328562,10.70874
2024-07-15 14:09:36,0.06060928,0.04328562,10.70874
2024-07-15 14:09:38,0.06064333,0.04328562,10.68869
2024-07-15 14:09:40,0.06060928,0.04328562,10.70874
2024-07-15 14:09:42,0.06059585,0.04327603,10.70874
2024-07-15 14:09:44,0.06059224,0.04328562,10.71878
2024-07-15 14:09:46,0.06066044,0.04328562,10.67862
2024-07-15 14:09:48,0.06062989,0.04327603,10.68869
2024-07-15 14:09:50,0.06061646,0.04326644,10.68869
2024-07-15 14:09:52,0.06056539,0.04326644,10.71878
2024-07-15 14:09:54,0.06062989,0.04327603,10.68869
2024-07-15 14:09:56,0.06065058,0.04326644,10.66861
2024-07-15 14:09:58,0.06066402,0.04327603,10.66861
2024-07-15 14:10:00,0.06061646,0.04326644,10.68869
2024-07-15 14:10:02,0.06058242,0.04326644,10.70874
2024-07-15 14:10:04,0.06061646,0.04326644,10.68869
2024-07-15 14:10:06,0.06061646,0.04326644,10.68869
2024-07-15 14:10:08,0.06058242,0.04326644,10.70874
2024-07-15 14:10:10,0.06059946,0.04326644,10.6987
2024-07-15 14:10:12,0.06055196,0.04325685,10.71878
2024-07-15 14:10:14,0.06056539,0.04326644,10.71878
2024-07-15 14:10:16,0.06059946,0.04326644,10.6987
2024-07-15 14:10:18,0.06061646,0.04326644,10.68869
2024-07-15 14:10:20,0.06063357,0.04326644,10.67862
2024-07-15 14:10:22,0.06062012,0.04325685,10.67862
