Time,Cond.corr.mS.cm,Ct.mS.cm,Temp.deg.C
2024-08-18 10:02:04,0.06486149,0.04631552,10.7034
2024-08-18 10:02:06,0.06485268,0.04629624,10.69339
2024-08-18 10:02:08,0.06487093,0.04629624,10.68335
2024-08-18 10:02:10,0.06491621,0.04631552,10.67331
2024-08-18 10:02:12,0.06488919,0.04629624,10.67331
2024-08-18 10:02:14,0.06490269,0.04630588,10.67331
2024-08-18 10:02:16,0.06484326,0.04631552,10.71344
2024-08-18 10:02:18,0.06491621,0.04631552,10.67331
2024-08-18 10:02:20,0.06486618,0.04630588,10.69339
2024-08-18 10:02:22,0.06486149,0.04631552,10.7034
2024-08-18 10:02:24,0.06488919,0.04629624,10.67331
2024-08-18 10:02:26,0.06479812,0.04629624,10.72345
2024-08-18 10:02:28,0.06491621,0.04631552,10.67331
2024-08-18 10:02:30,0.0649074,0.04629624,10.6633
2024-08-18 10:02:32,0.06489794,0.04631552,10.68335
2024-08-18 10:02:34,0.06486618,0.04630588,10.69339
2024-08-18 10:02:36,0.06491621,0.04631552,10.67331
2024-08-18 10:02:38,0.06492091,0.04630588,10.6633
2024-08-18 10:02:40,0.06482976,0.04630588,10.71344
2024-08-18 10:02:42,0.06487969,0.04631552,10.69339
2024-08-18 10:02:44,0.06489794,0.04631552,10.68335
2024-08-18 10:02:46,0.06483857,0.04632515,10.72345
2024-08-18 10:02:48,0.06486149,0.04631552,10.7034
2024-08-18 10:02:50,0.06489318,0.04632515,10.69339
2024-08-18 10:02:52,0.06489318,0.04632515,10.69339
2024-08-18 10:02:54,0.06478867,0.04631552,10.74353
2024-08-18 10:02:56,0.06486149,0.04631552,10.7034
2024-08-18 10:02:58,0.06480688,0.04631552,10.73349
2024-08-18 10:03:00,0.06489318,0.04632515,10.69339
2024-08-18 10:03:02,0.06487969,0.04631552,10.69339
2024-08-18 10:03:04,0.06485675,0.04632515,10.71344
2024-08-18 10:03:06,0.06487969,0.04631552,10.69339
2024-08-18 10:03:08,0.06492971,0.04632515,10.67331
2024-08-18 10:03:10,0.06489318,0.04632515,10.69339
2024-08-18 10:03:12,0.06489318,0.04632515,10.69339
2024-08-18 10:03:14,0.06487969,0.04631552,10.69339
2024-08-18 10:03:16,0.06485675,0.04632515,10.71344
2024-08-18 10:03:18,0.06483857,0.04632515,10.72345
2024-08-18 10:03:20,0.06493843,0.04634442,10.68335
2024-08-18 10:03:22,0.0648751,0.04632515,10.70334
2024-08-18 10:03:24,0.0648751,0.04632515,10.70334
2024-08-18 10:03:26,0.0648252,0.04631552,10.72339
2024-08-18 10:03:28,0.06480699,0.04631552,10.73343
2024-08-18 10:03:30,0.06485205,0.0463347,10.72339
2024-08-18 10:03:32,0.06490672,0.0463347,10.6933
2024-08-18 10:03:34,0.06489334,0.04632515,10.6933
2024-08-18 10:03:36,0.06483383,0.0463347,10.73343
2024-08-18 10:03:38,0.06485686,0.04632515,10.71338
2024-08-18 10:03:40,0.0648751,0.04632515,10.70334
2024-08-18 10:03:42,0.06487023,0.0463347,10.71338
2024-08-18 10:03:44,0.0648751,0.04632515,10.70334
2024-08-18 10:03:46,0.06485205,0.0463347,10.72339
2024-08-18 10:03:48,0.06480226,0.04632515,10.74347
2024-08-18 10:03:50,0.06489334,0.04632515,10.6933
2024-08-18 10:03:52,0.06489334,0.04632515,10.6933
2024-08-18 10:03:54,0.06485686,0.04632515,10.71338
2024-08-18 10:03:56,0.06488847,0.0463347,10.70334
2024-08-18 10:03:58,0.06487023,0.0463347,10.71338
2024-08-18 10:04:00,0.06489334,0.04632515,10.6933
2024-08-18 10:04:02,0.06490672,0.0463347,10.6933
2024-08-18 10:04:04,0.06492895,0.04636361,10.70334
2024-08-18 10:04:06,0.06483869,0.04632515,10.72339
2024-08-18 10:04:08,0.06492493,0.0463347,10.68329
2024-08-18 10:04:10,0.06488847,0.0463347,10.70334
2024-08-18 10:04:12,0.06486553,0.04634433,10.72339
2024-08-18 10:04:14,0.06487902,0.04635397,10.72339
2024-08-18 10:04:16,0.06486553,0.04634433,10.72339
2024-08-18 10:04:18,0.06487023,0.0463347,10.71338
2024-08-18 10:04:20,0.06495193,0.04635397,10.68329
2024-08-18 10:04:22,0.0648972,0.04635397,10.71338
